Time,FAM/FAM T (+),TYE/TYE T (-),CY5/CY5 T (m)
7.233333333,0.00587535,-0.002489733,-0.003385617
7.25,0.006038329,-0.002849219,-0.00318911
7.266666667,0.006202345,-0.003212043,-0.002990303
7.283333333,0.006366147,-0.003572089,-0.002794058
7.3,0.00635645,-0.003295542,-0.003060908
7.316666667,0.006345972,-0.003020709,-0.003325263
7.333333333,0.006336732,-0.002743688,-0.003593044
7.35,0.006114327,-0.002314816,-0.003799511
7.366666667,0.005890747,-0.00189119,-0.003999556
7.383333333,0.0056691,-0.00146246,-0.00420664
7.4,0.006164997,-0.001923987,-0.004241011
7.416666667,0.006660033,-0.002387698,-0.004272335
7.433333333,0.007155304,-0.002848351,-0.004306953
7.45,0.006921266,-0.002406554,-0.004514712
7.466666667,0.006684279,-0.001965092,-0.004719187
7.483333333,0.006449374,-0.0015212,-0.004928174
7.5,0.006629645,-0.002059154,-0.004570492
7.516666667,0.006806966,-0.002593873,-0.004213094
7.533333333,0.006987459,-0.003133316,-0.003854144
7.55,0.006682529,-0.003181589,-0.00350094
7.566666667,0.006375018,-0.003229005,-0.003146013
7.583333333,0.006071364,-0.00327663,-0.002794734
7.6,0.006352988,-0.002713749,-0.003639238
7.616666667,0.006635906,-0.002155112,-0.004480794
7.633333333,0.006919486,-0.001591457,-0.005328029
7.65,0.006955907,-0.002131753,-0.004824155
7.666666667,0.00699516,-0.002670535,-0.004324625
7.683333333,0.00703278,-0.003211752,-0.003821028
7.7,0.00734548,-0.003143017,-0.004202463
7.716666667,0.007661435,-0.003077315,-0.004584119
7.733333333,0.007975788,-0.003007323,-0.004968465
7.75,0.00800702,-0.003170545,-0.004836476
7.766666667,0.008038988,-0.003338931,-0.004700057
7.783333333,0.00807048,-0.003502029,-0.004568451
7.8,0.007747469,-0.003203408,-0.004544062
7.816666667,0.007426562,-0.002902796,-0.004523767
7.833333333,0.007103786,-0.002604051,-0.004499735
7.85,0.006889316,-0.002693239,-0.004196077
7.866666667,0.006671504,-0.002784226,-0.003887278
7.883333333,0.00645677,-0.002873119,-0.003583651
7.9,0.007213283,-0.00314975,-0.004063532
7.916666667,0.007970748,-0.003428803,-0.004541945
7.933333333,0.008726744,-0.003704803,-0.00502194
7.95,0.008048004,-0.003017755,-0.005030249
7.966666667,0.007365811,-0.002331646,-0.005034165
7.983333333,0.006684247,-0.001642907,-0.00504134
8,0.007272299,-0.002556095,-0.004716204
8.016666667,0.007858671,-0.00346515,-0.004393521
8.033333333,0.008446553,-0.004377199,-0.004069354
8.05,0.008038958,-0.004114319,-0.003924639
8.066666667,0.007632036,-0.003848591,-0.003783445
8.083333333,0.007223825,-0.003586168,-0.003637658
8.1,0.007262237,-0.003139055,-0.004123182
8.116666667,0.007302776,-0.002690964,-0.004611812
8.133333333,0.007341517,-0.00224405,-0.005097467
8.15,0.007304822,-0.002541261,-0.00476356
8.166666667,0.007273052,-0.002840721,-0.004432331
8.183333333,0.007235891,-0.003138646,-0.004097245
8.2,0.00743558,-0.003140828,-0.004294752
8.216666667,0.007631386,-0.003141499,-0.004489887
8.233333333,0.00783058,-0.003143309,-0.004687271
8.25,0.007631023,-0.002851239,-0.004779784
8.266666667,0.007430744,-0.002562243,-0.004868501
8.283333333,0.007231735,-0.002270135,-0.0049616
8.3,0.007698439,-0.002474841,-0.005223598
8.316666667,0.008163902,-0.002682522,-0.00548138
8.333333333,0.008630476,-0.002887161,-0.005743315
8.35,0.008873548,-0.003284069,-0.005589479
8.366666667,0.009120422,-0.003683325,-0.005437098
8.383333333,0.009363543,-0.004080376,-0.005283168
8.4,0.008734031,-0.003747943,-0.004986087
8.416666667,0.008102628,-0.003420136,-0.004682492
8.433333333,0.007471111,-0.003087276,-0.004383835
8.45,0.007348456,-0.002882661,-0.004465795
